City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
275,Saint-Pierre,RE,78.8,clear sky,-21.3393,55.4781,Lindsey Hôtel
280,San Rafael,AR,76.12,overcast clouds,-34.6177,-68.3301,Hotel San Rafael
281,Mirzapur,IN,77.94,few clouds,25.15,82.5833,Capital O 5843 Hotel Yash Inn
282,Kirksville,US,78.8,clear sky,40.1948,-92.5833,Budget Host-Village Inn
286,Shimoni,KE,80.83,light rain,-4.6476,39.3817,Shimoni Reef Lodge
290,Cayenne,GF,81.0,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
293,San Patricio,US,77.0,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
299,Santa Maria,BR,75.2,clear sky,-29.6842,-53.8069,Hotel Morotin
303,Merauke,ID,80.82,overcast clouds,-8.4667,140.3333,PC
313,Laje,BR,78.01,scattered clouds,-10.1833,-40.9667,Pousada Centro
318,Isangel,VU,78.8,few clouds,-19.55,169.2667,Volcano Sea View Tree House
328,Grand Gaube,MU,78.01,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
330,Yeppoon,AU,75.2,overcast clouds,-23.1333,150.7333,Villa Mar Colina
336,Morehead,US,75.2,clear sky,37.2711,-87.1764,CCI Express Inn
337,Quatre Cocos,MU,78.8,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
340,Galle,LK,78.37,broken clouds,6.0367,80.217,Amangalla
342,Altamira,BR,82.4,broken clouds,-3.2033,-52.2064,Requinte Hotel
344,Meulaboh,ID,77.02,overcast clouds,4.1363,96.1285,Kost Pria
349,Moron,AR,78.01,broken clouds,-34.6534,-58.6198,Hotel Morón
356,Hambantota,LK,76.69,broken clouds,6.1241,81.1185,Bungalow 63
360,Puerto Princesa,PH,78.8,scattered clouds,9.7392,118.7353,Deep Forest Garden Inn
362,San Cristobal,VE,82.4,broken clouds,7.7669,-72.225,Posada Villaven C.A.
372,Speightstown,BB,78.8,few clouds,13.25,-59.65,Legend Garden Condos
379,Tautira,PF,87.8,few clouds,-17.7333,-149.15,Pension Oaoa
380,Nelson Bay,AU,77.0,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
385,Pedasi,PA,83.19,overcast clouds,7.5333,-80.0333,Selina Pedasi
386,Bonthe,SL,79.81,clear sky,7.5264,-12.505,Bonthe Holiday Village
387,Grand-Bourg,GP,78.8,few clouds,15.8835,-61.3148,Coco Beach Resort
388,Cairns,AU,80.6,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
389,Fort Dodge,US,82.4,clear sky,42.4975,-94.16799999999999,"Country Inn & Suites by Radisson, Fort Dodge, IA"
390,Trat,TH,78.01,broken clouds,12.5,102.5,สวนหนิง-อัศ
398,Acari,PE,75.72,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
399,Faanui,PF,81.03,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
400,Mayumba,GA,77.23,heavy intensity rain,-3.432,10.6554,LIKWALE LODGE
401,Nizwa,OM,75.88,clear sky,22.9333,57.5333,Orient Apartments
402,Russell,US,77.0,clear sky,32.3502,-85.1999,Macs
406,Saint-Georges,GD,82.4,few clouds,12.0564,-61.7485,Siesta Hotel
407,Pochutla,MX,84.99,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
410,San Andres,CO,82.4,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
411,Deori Khas,IN,80.92,clear sky,23.4,79.0167,SAMARPAD COMPUTER DEORI
413,Glenwood Springs,US,77.0,scattered clouds,39.5505,-107.3248,Glenwood Springs Cedar Lodge
418,Alenquer,BR,78.8,broken clouds,-1.9417,-54.7383,Josilene Castro
422,Touros,BR,77.0,few clouds,-5.1989,-35.4608,INN NEW HORIZON
424,Tukrah,LY,76.15,overcast clouds,32.5341,20.5791,Lokta restaurant
428,Nhulunbuy,AU,80.6,few clouds,-12.2333,136.7667,East Arnhem Real Estate
429,Sao Filipe,CV,75.88,clear sky,14.8961,-24.4956,Tortuga B&B
431,El Porvenir,HN,89.6,broken clouds,13.7617,-87.3458,Campo de Futbol Las Delicias
437,Mackay,AU,75.2,broken clouds,-21.15,149.2,International Lodge Motel
438,Belmonte,BR,78.8,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
445,Malakal,SS,86.4,clear sky,9.5334,31.6605,Nile Palace Hotel
