City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Clyde River,CA,70.4692,-68.5914,1.4,78,75,11.5,broken clouds
80,Yuzhou,CN,34.1628,113.4639,37.4,93,61,2.24,mist
81,Codrington,AU,-38.2667,141.9667,61.95,66,100,8.43,overcast clouds
82,Coihaique,CL,-45.5752,-72.0662,62.6,51,75,10.36,broken clouds
83,Salalah,OM,17.0151,54.0924,77.0,88,0,2.3,clear sky
84,San Francisco Del Mar,MX,16.2333,-94.65,88.25,46,45,17.76,scattered clouds
85,Bilsanda,IN,28.25,79.95,74.05,13,61,7.7,broken clouds
86,Mahebourg,MU,-20.4081,57.7,78.8,78,40,6.91,scattered clouds
87,Fortuna,US,40.5982,-124.1573,61.0,58,1,16.11,clear sky
88,Vao,NC,-22.6667,167.4833,76.32,66,93,18.34,overcast clouds
89,Aketi,CD,2.7388,23.7833,75.36,78,92,4.61,overcast clouds
90,Porto Novo,BJ,6.4965,2.6036,84.2,79,40,12.66,scattered clouds
91,Boyolangu,ID,-8.1181,111.8935,75.25,90,100,2.66,overcast clouds
92,Leningradskiy,RU,69.3833,178.4167,0.93,90,97,3.24,overcast clouds
93,Namibe,AO,-15.1961,12.1522,77.07,77,5,3.78,clear sky
94,Tonekabon,IR,36.8163,50.8738,60.8,51,0,2.3,clear sky
95,Luanda,AO,-8.8368,13.2343,75.2,94,75,3.44,light rain
96,Tiksi,RU,71.6872,128.8694,-13.77,98,38,3.44,scattered clouds
97,Paciran,ID,-6.8767,112.3761,78.75,83,100,7.96,overcast clouds
98,Vila Velha,BR,-20.3297,-40.2925,75.2,78,40,5.75,scattered clouds
99,Quelimane,MZ,-17.8786,36.8883,77.0,83,20,2.3,few clouds
100,Kondinskoye,RU,59.6481,67.41,32.32,97,100,14.92,light snow
101,Cabo San Lucas,MX,22.8909,-109.9124,89.6,19,1,19.57,clear sky
102,Chamba,IN,32.5667,76.1333,62.24,66,100,9.57,overcast clouds
103,Vuktyl,RU,63.8567,57.3094,18.75,96,26,3.58,scattered clouds
104,Palmer,US,42.1584,-72.3287,60.8,20,40,19.57,scattered clouds
105,Vanavara,RU,60.34,102.2797,30.2,99,100,3.11,overcast clouds
106,Luau,AO,-10.7073,22.2247,63.66,95,99,3.42,overcast clouds
107,Gudivada,IN,16.45,80.9833,76.87,89,34,2.86,scattered clouds
108,Tiarei,PF,-17.5333,-149.3333,86.0,58,20,14.97,few clouds
109,Bayir,TR,37.2687,28.2167,64.4,55,75,16.11,broken clouds
110,Enshi,CN,30.3,109.4833,51.82,94,100,0.65,overcast clouds
111,Baykit,RU,61.67,96.37,27.34,99,100,2.53,overcast clouds
112,Paarl,ZA,-33.7338,18.9752,61.0,82,0,16.11,clear sky
113,Avarua,CK,-21.2078,-159.775,82.4,74,75,18.41,broken clouds
114,Tilichiki,RU,60.4667,166.1,1.99,86,45,10.07,scattered clouds
115,Toowoomba,AU,-27.55,151.9667,66.2,100,90,10.36,light rain
116,Nikolskoye,RU,59.7035,30.7861,37.0,86,90,6.71,light snow
117,Hasaki,JP,35.7333,140.8333,48.2,71,75,16.11,broken clouds
118,Oksfjord,NO,70.2396,22.3479,35.6,80,90,14.97,light snow
119,Klaksvik,FO,62.2266,-6.589,26.6,86,75,36.82,light snow
120,Norman Wells,CA,65.282,-126.8329,8.6,72,75,24.16,broken clouds
121,Chokurdakh,RU,70.6333,147.9167,-18.51,95,70,1.41,broken clouds
122,Yellowknife,CA,62.456,-114.3525,30.0,93,90,18.41,snow
123,Lagunillas,VE,10.1301,-71.2595,83.05,68,82,6.33,broken clouds
124,Sishui,CN,35.6489,117.2758,50.88,52,11,1.61,few clouds
125,Hualmay,PE,-11.0964,-77.6139,72.19,79,38,10.45,scattered clouds
126,Geraldton,AU,-28.7667,114.6,62.6,94,75,3.44,broken clouds
127,Fortuna Foothills,US,32.6578,-114.4119,93.2,10,1,24.16,clear sky
128,Sept-Iles,CA,50.2001,-66.3821,44.6,100,90,6.91,mist
129,Timra,SE,62.487,17.3257,36.0,60,18,18.41,few clouds
130,Bilibino,RU,68.0546,166.4372,-2.02,86,37,1.05,scattered clouds
131,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,73.22,99,100,4.81,moderate rain
132,Los Llanos De Aridane,ES,28.6585,-17.9182,62.6,67,40,6.91,scattered clouds
133,Sakakah,SA,29.9697,40.2064,60.8,16,0,6.91,clear sky
134,Samarai,PG,-10.6167,150.6667,83.5,75,92,5.75,overcast clouds
135,Nouadhibou,MR,20.931,-17.0347,68.0,68,5,16.11,clear sky
136,Mount Gambier,AU,-37.8333,140.7667,59.0,72,34,11.5,scattered clouds
137,Laguna,US,38.421,-121.4238,72.0,40,1,6.91,clear sky
138,Nome,US,64.5011,-165.4064,1.99,71,90,14.97,overcast clouds
139,Broken Hill,AU,-31.95,141.4333,60.8,44,0,9.22,clear sky
140,Fort Nelson,CA,58.8053,-122.7002,48.2,37,75,11.5,broken clouds
141,Sompeta,IN,18.9333,84.6,76.69,86,0,7.56,clear sky
142,Kirovskiy,RU,45.0917,133.5136,42.58,42,82,7.36,broken clouds
143,Pyu,MM,18.4833,96.4333,68.45,91,99,3.58,overcast clouds
144,Port Elizabeth,ZA,-33.918,25.5701,59.0,100,90,3.44,light rain
145,Barra Do Garcas,BR,-15.89,-52.2567,84.2,74,0,3.11,clear sky
146,Bluff,NZ,-46.6,168.3333,61.0,71,54,5.01,broken clouds
147,Victor Harbor,AU,-35.5667,138.6167,59.0,85,0,10.0,clear sky
148,Bonavista,CA,48.6499,-53.1147,35.6,100,100,1.14,overcast clouds
149,Guerrero Negro,MX,27.9769,-114.0611,69.04,57,5,20.89,clear sky
150,Saiha,IN,22.4833,92.9667,61.7,69,2,3.71,clear sky
151,New Norfolk,AU,-42.7826,147.0587,55.99,59,5,2.13,clear sky
152,Lerwick,GB,60.1545,-1.1494,30.2,86,75,24.16,light snow
153,Gigmoto,PH,13.7796,124.39,79.45,81,77,11.12,broken clouds
154,Oulainen,FI,64.2667,24.8,28.0,86,68,7.0,broken clouds
155,Esperance,AU,-33.8667,121.9,69.8,60,49,14.97,scattered clouds
156,Katangli,RU,51.7102,143.2326,27.32,85,97,21.27,overcast clouds
157,Banda Aceh,ID,5.5577,95.3222,78.78,82,96,7.09,overcast clouds
158,Colwyn Bay,GB,53.2948,-3.7267,39.99,76,100,3.0,overcast clouds
159,Pinheiro Machado,BR,-31.5783,-53.3811,66.99,96,100,8.99,light rain
160,Hamilton,US,39.1834,-84.5333,75.2,40,1,9.22,clear sky
161,Liyang,CN,29.7057,118.2862,54.45,73,100,0.87,light rain
162,Port Alfred,ZA,-33.5906,26.891,62.71,81,100,10.13,light rain
